year,mean_duration,mean_minutes
2021,197746.76293583825,3.295779382263971
2020,203920.3373035804,3.3986722883930067
2019,216802.35264970185,3.6133725441616975
2018,220775.36155815655,3.6795893593026094
2017,229758.4534331075,3.829307557218458
2016,230114.18541911035,3.8352364236518395
2015,230674.28099329618,3.8445713498882697
2014,235323.00106647707,3.922050017774618
2013,241716.18821634934,4.0286031369391555
2012,237063.2004310345,3.9510533405172414
2011,244701.9164000413,4.078365273334021
2010,250525.84318016047,4.175430719669341
2009,238936.30647347023,3.9822717745578373
2008,239213.92845377806,3.9868988075629677
2007,242577.60262257696,4.042960043709616
2006,240230.8795566221,4.0038479926103685
2005,241063.2281810997,4.017720469684995
2004,241037.6169062804,4.017293615104673
2003,241235.9993909866,4.020599989849776
2002,245969.96700078837,4.099499450013139
2001,245569.59567433532,4.092826594572255
2000,244919.03215561731,4.081983869260289
1999,244916.73349887857,4.081945558314643
1998,244295.13327993592,4.071585554665599
1997,241112.92153210787,4.018548692201798
1996,246117.2129706419,4.101953549510698
1995,242282.56336813045,4.038042722802174
1994,241365.1334453154,4.02275222408859
1993,243462.68302047782,4.05771138367463
1992,237893.65674464908,3.964894279077485
1991,233866.1480024213,3.8977691333736884
1990,239633.16926394196,3.993886154399033
1989,234681.84986155265,3.911364164359211
1988,245978.8538961039,4.099647564935065
1987,231561.49707881245,3.859358284646874
1986,227951.59782608695,3.799193297101449
1985,228195.16064867604,3.8032526774779343
1984,222323.18732358224,3.7053864553930373
1983,224654.14115503224,3.744235685917204
1982,223175.40410868125,3.7195900684780208
1981,221116.11920010456,3.685268653335076
1980,218609.42245217183,3.6434903742028637
1979,222415.59417334304,3.7069265695557174
1978,232997.5598770177,3.8832926646169614
1977,235160.81520096707,3.919346920016118
1976,240747.24523071907,4.012454087178651
1975,231953.94082125605,3.865899013687601
1974,232824.0430531462,3.8804007175524364
1973,233094.3836863294,3.884906394772157
1972,231712.24841613873,3.8618708069356456
1971,237400.8754813864,3.956681258023107
1970,230444.81470219998,3.840746911703333
1969,222932.9253590325,3.7155487559838747
1968,203835.31975521133,3.397255329253522
1967,196795.441010101,3.2799240168350168
1966,213326.85270730784,3.555447545121797
1965,202353.63961538463,3.3725606602564104
1964,200011.51258389262,3.3335252097315435
1963,201913.30751862723,3.3652217919771203
1962,207677.89292848582,3.4612982154747636
1961,226887.78939617085,3.7814631566028476
1960,221560.49040383846,3.692674840063974
1959,216804.51602918416,3.6134086004864026
1958,220432.95536125172,3.673882589354195
1957,227525.36701846967,3.7920894503078277
1956,213307.64786192685,3.5551274643654476
1955,224190.49495446714,3.736508249241119
1954,234067.5808165548,3.90112634694258
1953,224035.8228845495,3.7339303814091584
1952,234215.92991913747,3.9035988319856245
1951,218585.17095658855,3.643086182609809
1950,218723.23314881147,3.6453872191468575
1949,220726.35905583296,3.6787726509305494
1948,212849.93440366973,3.547498906727829
1947,221828.35193564606,3.697139198927434
1946,241698.15774778966,4.028302629129827
1945,223415.17271157168,3.7235862118595278
1944,224425.44835007173,3.740424139167862
1943,223879.25852036575,3.731320975339429
1942,225689.843373494,3.7614973895582335
1941,201857.22493734336,3.3642870822890556
1940,191624.77705627706,3.1937462842712843
1939,213417.06714628296,3.556951119104716
1938,237095.2684509327,3.951587807515545
1937,209929.3144409938,3.498821907349897
1936,181652.78636640293,3.027546439440049
1935,260046.48614072494,4.334108102345415
1934,186130.63246073297,3.102177207678883
1933,196501.42895204262,3.2750238158673772
1932,181671.1095890411,3.027851826484018
1931,197976.83858267716,3.2996139763779526
1930,199600.47135740973,3.3266745226234957
1929,187781.00976909415,3.129683496151569
1928,210753.91279069768,3.5125652131782945
1927,172473.2075,2.874553458333333
1926,165946.54046446164,2.765775674407694
1925,189370.96013289035,3.156182668881506
1924,189111.3064770932,3.1518551079515533
1923,156975.91476407915,2.6162652460679854
1922,166642.02040816325,2.777367006802721
1900,233920.0,3.8986666666666663
