id,followers,genres,name,popularity
6eUKZXaKkcviH0Ku9w2n3V,78900234,"['pop', 'uk pop']",Ed Sheeran,92
66CXWjxzNUsdJxJ2JdwvnR,61301006,"['pop', 'post-teen pop']",Ariana Grande,95
3TVXtAsR1Inumwj472S9r4,54416812,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Drake,98
1uNFoZAHBGtllmzznpCI3s,44606973,"['canadian pop', 'pop', 'post-teen pop']",Justin Bieber,100
7dGJo4pcD2V6oG8kP0tJRR,43747833,"['detroit hip hop', 'hip hop', 'rap']",Eminem,94
5pKCCKE2ajJHZ9KAiaK11H,42244011,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'urban contemporary']",Rihanna,92
6qqNVTkY8uBg9cP3Jd7DAH,41792604,"['electropop', 'pop']",Billie Eilish,92
06HL4z0CvFAxyc27GXpf02,38869193,"['pop', 'post-teen pop']",Taylor Swift,98
53XhwfbYqKCa1cC15pYq2q,33665795,"['modern rock', 'rock']",Imagine Dragons,89
1dfeR4HaWDbWqFHLkxsg1d,33483326,"['classic rock', 'glam rock', 'rock']",Queen,89
