Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,year
418558,4tq7Q9bTkLqzXNUi8PVmk2,Puisorul cafeniu,15,84707,0,['Malina Olinescu'],['6KZH1ER38F5smKpXKmLRwb'],2002-01-01,0.991,0.422,0,-11.093,1,0.247,0.307,0.0176,0.0788,0.994,119.975,4,2002
156664,5ObMLQkrprMky3fuOCnFmW,Who Loves The Sun feat. Jo.Ke - Edit,53,256996,0,"['Nu', 'Jo.Ke']","['5tY2sa8I11tpMuhU9onQ6e', '0RKP3F2s1SHvGpckHuW4S7']",2011-07-12,0.988,0.644,10,-10.245,0,0.072,0.118,0.462,0.244,0.499,120.003,4,2011
62569,5YIF6HSOtHN9HdcE5IPzMe,Funky Cold Medina,58,248160,0,['Tone-Loc'],['5Y8EphH8Vdqu5SLj6K5vjj'],1989-01-01,0.988,0.633,5,-15.012,0,0.0888,0.0755,1.88e-06,0.0668,0.929,117.493,4,1989
252256,7yCtSls77Pnz8R4etGfHe5,Tío Mario,11,101760,0,['Susana Bosch'],['7FSDwf9FSxPM0TnnbuBRUi'],1998-07-01,0.988,0.459,7,-6.631,1,0.13,0.124,0.0,0.0749,0.93,114.849,4,1998
356102,5GFwJHucflHj46Hwet6qvc,Cool - Leonardo La Mark Remix,0,361967,0,"['Spooner Street', 'Rio Dela Duna', 'Leonardo La Mark']","['69Jnii2nKzGXwTz2CNR82H', '5McLuoTfnILw7AYs1IQjAj', '4Eo43kyUrYaUfZxIVqN0EE']",2021-01-15,0.987,0.649,9,-6.727,1,0.277,0.000626,0.379,0.0686,0.458,122.002,4,2021
74928,6G7Gtq7ymFvYuqcJSAW9cA,New Year (2021),0,42250,0,"['xxrichbeats', 'Egor4ik']","['49FLHDHX5mD9Pbm6JwLujJ', '01KisSmrh9sNoIzqT6t9lL']",2021-01-20,0.987,0.293,9,-11.453,0,0.199,0.00321,1.02e-05,0.128,0.502,119.974,4,2021
175899,1HTN2lX8X87qmMXTtI9FDL,Go Girl,54,229669,1,"['Pitbull', 'Trina', 'Young Bo']","['0TnOYISbd1XYRBk9myaseg', '4PrinKSrmILmo0kERG0Ogn', '5g9Z4rvzvFBAPvKbesIBTS']",2012-05-29,0.986,0.597,8,-6.809,1,0.308,0.145,2.18e-06,0.197,0.761,115.004,4,2012
303940,1MgM0WDaoQ2A3bnIQTR6ty,Go Girl,55,229669,1,"['Pitbull', 'Trina', 'Young Bo']","['0TnOYISbd1XYRBk9myaseg', '4PrinKSrmILmo0kERG0Ogn', '5g9Z4rvzvFBAPvKbesIBTS']",2012-05-08,0.986,0.597,8,-6.809,1,0.308,0.145,2.18e-06,0.197,0.761,115.004,4,2012
509977,3jjfgpQ05jy0hoGwdaVmzH,BABÁM,40,194076,0,"['Horváth Tamás', 'Pixa']","['4I1y8Rd0H2NGXMzmT6JWsz', '6YbKlFrkjKLYpC3PYycpxp']",2020-06-10,0.986,0.323,1,-6.965,0,0.107,0.0189,0.000284,0.0857,0.708,121.958,4,2020
84281,2ui62KKhQgwsUF8afLpyXZ,Funky Cold Medina - Re-Recorded,8,249464,0,['Tone-Loc'],['5Y8EphH8Vdqu5SLj6K5vjj'],2010-12-21,0.985,0.914,0,-7.788,1,0.152,0.00297,0.000188,0.0408,0.805,117.003,4,2010
