year,count
2020,13937
1998,12485
1999,12484
1997,12349
1996,12058
2019,11907
1995,11591
2014,11252
2016,11083
2018,10936
1994,10716
2015,10591
2013,10557
1990,10203
1992,10045
1991,9912
2017,9889
1989,9751
2012,9744
2008,9714
2011,9689
2010,9597
2009,9593
2004,9251
1988,8932
1986,8924
2002,8879
2005,8857
2007,8770
2006,8751
1987,8387
1980,8311
2003,8210
1985,7893
1984,7794
1981,7651
2000,7557
1982,7545
2001,7259
1983,7134
1993,7032
1979,6865
1975,6624
1977,6618
1978,6505
1974,6341
2021,6281
1976,6133
1972,5998
1973,5713
1970,5591
1971,5453
1969,5292
1968,5229
1965,5200
1962,5006
1960,5002
1967,4950
1964,4768
1961,4753
1959,4523
1963,4429
1958,4346
1955,4063
1956,3882
1957,3790
1954,3576
1950,3071
1953,2919
1966,2641
1951,2603
1952,2597
1949,2203
1948,2180
1946,2149
1947,1989
1940,1848
1942,1743
1945,1737
1939,1668
1936,1643
1930,1606
1941,1596
1926,1421
1935,1407
1944,1394
1928,1376
1937,1288
1938,1233
1943,1203
1927,1200
1933,1126
1929,1126
1932,1095
1931,1016
1934,955
1925,903
1923,657
1924,633
1922,294
1900,1
